2025-06-01T17:22:42.892Z - Utilizador: zeee | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T17:22:51.252Z - Utilizador: admin | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T17:22:56.461Z - Utilizador: zeee | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T17:24:24.255Z - Utilizador: zeee | Ação: importação | Detalhes: Item 280370910 criado via upload SIP
2025-06-01T17:28:12.850Z - Utilizador: zeee | Ação: importação | Detalhes: Item 763784143 criado via upload SIP
2025-06-01T17:34:51.454Z - Utilizador: Rodrigo Lima | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T17:35:27.019Z - Utilizador: Rodrigo Lima | Ação: importação | Detalhes: Item 401606320 criado via upload SIP
2025-06-01T17:56:32.434Z - Utilizador: admin | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T17:58:18.347Z - Utilizador: zeee | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T17:59:16.999Z - Utilizador: zeee | Ação: importação | Detalhes: Item 655606543 criado via upload SIP
2025-06-01T17:59:51.740Z - Utilizador: Rodrigo Lima | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T18:00:55.426Z - Utilizador: zeee | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T18:03:07.081Z - Utilizador: zeee | Ação: remoção_item | Detalhes: Item com ID 655606543 removido
2025-06-01T18:03:25.255Z - Utilizador: zeee | Ação: importação | Detalhes: Item 120045802 criado via upload SIP
2025-06-01T18:08:24.628Z - Utilizador: Rodrigo Lima | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T18:08:33.240Z - Utilizador: zeee | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T18:08:41.488Z - Utilizador: Rodrigo Lima | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T18:08:50.844Z - Utilizador: admin | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T19:52:08.748Z - Utilizador: zeee | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T20:02:25.174Z - Utilizador: Rodrigo Lima | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T20:10:35.319Z - Utilizador: admin | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T20:13:19.218Z - Utilizador: zeee | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T20:13:25.724Z - Utilizador: Rodrigo Lima | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T20:45:16.186Z - Utilizador: user | Ação: registo | Detalhes: Novo utilizador registado (user)
2025-06-01T20:45:23.470Z - Utilizador: user | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T20:55:48.315Z - Utilizador: diogo | Ação: registo | Detalhes: Novo utilizador registado (diogo)
2025-06-01T20:55:53.270Z - Utilizador: diogo | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T20:57:41.280Z - Utilizador: zeee | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T20:57:54.225Z - Utilizador: admin | Ação: login | Detalhes: Login efetuado com sucesso
